identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* alf Com;13 09 59.28520 +17 31 46.0389;4.77;4.32;4.1
* alf Com A;13 09 59.285492 +17 31 45.85645;5.25;4.8;nan
* alf Com B;13 09 59.288719 +17 31 46.24482;5.92;5.48;nan
HD 115478;13 17 15.6279440976 +13 40 32.706746400;6.63;5.33;nan
HD 114780;13 12 32.9201305680 +11 33 21.958827804;7.28;5.77;nan
V* LN Vir;13 14 31.2834703272 +11 19 53.963882148;7.17;5.67;nan
HD 114256;13 09 12.4347591312 +10 01 20.883994536;6.816;5.782;nan
* sig Vir;13 17 36.2832672 +05 28 11.522114;6.47;4.8;nan
* tet Vir;13 09 56.9889385680 -05 32 20.414634792;4.385;4.397;nan
* g Vir;13 08 32.4661100352 -08 59 03.776673768;6.753;5.564;nan
* 49 Vir;13 07 53.8128711672 -10 44 25.471334544;6.281;5.151;nan
* 50 Vir;13 09 45.2812131984 -10 19 45.622835976;7.436;5.943;nan
* 53 Vir;13 12 03.5431874543 -16 11 54.970689063;5.5;5.04;nan
* 61 Vir;13 18 24.3139864471 -18 18 40.297748582;5.44;4.74;nan
* 55 Vir;13 14 10.8951509520 -19 55 51.404410380;6.2;5.33;nan
* 57 Vir;13 15 58.7708690051 -19 56 35.161303899;6.25;5.22;nan
* psi Hya;13 09 03.2659754016 -23 07 04.957919256;5.98;4.934;nan
* r Cen;13 16 53.1318801144 -31 30 22.324588740;6.072;5.11;nan
HD 114613;13 12 03.1842958709 -37 48 10.879928463;5.55;4.85;4.28
HD 114474;13 11 23.2158812856 -43 22 06.798085068;6.287;5.231;nan
* 23 CVn;13 20 18.9510975912 +40 09 01.967513472;6.82;5.6;nan
HD 116706;13 25 06.6781079208 +23 51 15.912465444;5.829;5.745;nan
* 70 Vir;13 28 25.8085908881 +13 46 43.638308807;5.68;4.97;4.37
* 71 Vir;13 29 13.0005805560 +10 49 05.913091632;6.718;5.646;nan
NAME NGC 5171 Group;13 29 22.3 +11 47 31;nan;4.7;nan
* 64 Vir;13 22 09.7048864632 +05 09 17.115496380;5.989;5.873;nan
HD 116160;13 21 41.6458462536 +02 05 14.060137272;5.732;5.687;nan
HD 116831;13 26 11.4149726232 -01 11 32.902280340;6.153;5.965;nan
* 65 Vir;13 23 18.8935109520 -04 55 27.941788128;7.304;5.858;nan
* 66 Vir;13 24 33.2485660488 -05 09 50.404470804;6.167;5.749;nan
* i Vir;13 26 43.1665407240 -12 42 27.586456056;6.77;5.25;nan
* alf Vir;13 25 11.57937 -11 09 40.7501;0.74;0.97;1.06
* 69 Vir;13 27 27.1640367264 -15 58 24.885623784;5.85;4.75;nan
* 63 Vir;13 23 01.1146683912 -17 44 06.988406028;6.349;5.354;nan
* gam Hya;13 18 55.2971856 -23 10 17.451401;3.92;3;2.4
V* R Hya;13 29 42.7818674 -23 16 52.774679;6.58;4.97;2.27
* iot Cen;13 20 35.8128156095 -36 42 44.296492410;2.76;2.73;2.68
HD 116713;13 26 07.8002651304 -39 45 18.308993400;6.29;5.09;nan
HD 116835;13 26 56.1163089072 -41 29 51.219711168;7.163;5.656;nan
V* BH CVn;13 34 47.8087660104 +37 10 56.691826860;5.38;4.98;4.57
* 25 CVn;13 37 27.62782 +36 17 41.6337;5.05;4.82;nan
* 25 CVn A;13 37 27.6268608000 +36 17 41.632615356;5.165;4.953;nan
HD 118508;13 36 59.0823272160 +24 36 47.868709572;7.28;5.69;nan
* 2 Boo;13 41 02.3464437048 +22 29 44.773950840;6.59;5.58;nan
* 1 Boo;13 40 40.4692226520 +19 57 20.585922228;5.77;5.76;nan
HD 118889;13 39 34.61613 +10 44 46.5827;5.912;5.58;nan
* o Vir;13 34 07.9318557 +03 39 32.273821;4.96;4.94;4.86
* zet Vir;13 34 41.5913587272 -00 35 44.939098032;3.5;3.38;3.31
* l Vir;13 31 57.8850553 -06 15 20.941894;6.29;4.69;3.23
* 80 Vir;13 35 31.2962831856 -05 23 46.288937688;6.661;5.706;nan
* h Vir;13 32 58.0715920586 -10 09 53.995068424;6.19;5.21;nan
* y Vir;13 34 40.4501961 -13 12 51.571563;5.956;5.932;nan
* 75 Vir;13 32 51.6423178 -15 21 46.848534;6.76;5.529;nan
* 73 Vir;13 32 02.8064947488 -18 43 43.960235592;6.207;5.998;nan
HD 117716;13 32 35.8976110488 -28 41 33.963610020;5.73;5.69;nan
HD 118349A;13 36 48.4534401984 -26 29 42.710523360;6;5.78;nan
HD 118646;13 38 42.0709958256 -29 33 39.123093744;6.221;5.81;nan
* d Cen;13 31 02.6565951 -39 24 26.298992;5.04;3.88;3.04
HD 118799;13 39 48.5482477560 -40 03 06.146649432;6.909;5.603;nan
HD 120047;13 46 13.5455873496 +41 05 19.480664184;6.085;5.877;nan
HD 120048;13 46 19.0616824776 +38 30 13.044486168;6.868;5.919;nan
HD 120164;13 46 59.7747544992 +38 32 33.705180240;6.553;5.501;nan
HD 119458;13 42 43.4296862592 +34 59 20.474475072;6.82;5.96;nan
HD 120819;13 51 09.2157227640 +34 39 51.833773656;7.49;5.87;nan
V* AW CVn;13 51 47.4753428 +34 26 39.261252;6.4;4.74;3.21
HD 120420;13 48 38.7352176000 +31 11 24.744142248;6.59;5.57;nan
* 3 Boo;13 46 43.3233661056 +25 42 08.054927604;6.47;5.965;nan
* e Boo;13 49 42.8247690576 +21 15 50.764729320;6.33;4.91;nan
* ups Boo;13 49 28.6407858 +15 47 52.460283;5.59;4.07;2.87
* tau Boo;13 47 15.7381720026 +17 27 24.809555600;4.98;4.49;4.09
HD 120602;13 50 24.6787096752 +05 29 49.996860540;6.892;5.993;nan
* m Vir;13 41 36.7700844816 -08 42 10.729027692;6.64;5.01;nan
* 83 Vir;13 44 29.8268293824 -16 10 44.662210068;6.35;5.567;nan
* 87 Vir;13 47 25.3912914624 -17 51 35.418569076;7.05;5.43;nan
* 89 Vir;13 49 52.2828951024 -18 08 03.009309756;6.018;4.959;nan
* i Cen;13 45 41.2439386102 -33 02 37.381099823;4.61;4.23;3.9
* g Cen;13 49 26.7217509 -34 27 02.792908;5.69;4.19;2.06
* z Cen;13 46 56.3517541416 -36 15 06.960051360;5.137;5.147;nan
HD 121164;13 53 10.2817568232 +28 38 53.275498368;6.102;5.909;nan
* 9 Boo;13 56 34.1810272752 +27 29 31.493189040;6.44;5;nan
* 10 Boo;13 58 38.9229420984 +21 41 46.319545932;5.743;5.748;nan
* eta Boo;13 54 41.07892 +18 23 51.7946;3.25;2.68;2.24
* 7 Boo;13 53 12.9300854664 +17 55 58.327270932;6.551;5.709;nan
HD 121980;13 58 39.9070747488 +14 38 57.385659120;7.432;5.999;nan
HD 122365;14 01 20.4264941184 +08 53 41.617038696;6.058;5.973;nan
* 92 Vir;13 56 27.8767450392 +01 03 02.089900836;6.117;5.898;nan
* tau Vir;14 01 38.7934143 +01 32 40.314540;4.331;4.237;nan
* p Vir;13 54 42.1451337000 -01 30 11.241795960;6.258;5.159;nan
* 47 Hya;13 58 31.1464192 -24 58 20.097910;5.05;5.15;nan
* 48 Hya;14 00 00.1207098672 -25 00 37.456449156;6.25;5.77;nan
HD 122430;14 02 22.7821310616 -27 25 47.192750976;6.799;5.469;nan
* h Cen;13 53 12.5382897240 -31 55 39.430392240;4.59;4.73;nan
* d Boo;14 10 23.9334932664 +25 05 30.037020972;5.37;4.83;4.39
* 15 Boo;14 14 50.8487473560 +10 06 02.196736560;6.37;5.32;6.59
V* CU Vir;14 12 15.8054758 +02 24 33.953395;4.9;5.02;5.1
HD 124425;14 13 40.7900927904 -00 50 43.670606172;6.38;5.9;nan
* 95 Vir;14 06 42.8232925008 -09 18 48.654853632;5.807;5.453;nan
* kap Vir;14 12 53.7453840 -10 16 25.333997;5.53;4.21;3.14
V* ET Vir;14 10 50.4870574246 -16 18 07.310535267;6.63;4.91;nan
* pi. Hya;14 06 22.2974865 -26 40 56.502378;4.41;3.28;2.4
* 50 Hya;14 12 46.0229491343 -27 15 40.268119429;6.24;5.08;nan
* tet Cen;14 06 40.94752 -36 22 11.8371;3.04;2.05;1.29
* A Boo;14 17 59.8173240168 +35 30 34.244293500;5.852;4.796;nan
* alf Boo;14 15 39.67207 +19 10 56.6730;1.18;-0.05;-1.03
V* CN Boo;14 16 04.1396967072 +18 54 42.485224608;6.231;5.957;nan
V* CY Boo;14 17 28.4515048992 +15 15 48.169784628;7.51;5.8;nan
* 18 Boo;14 19 16.2797193624 +13 00 15.483901068;5.788;5.396;nan
BD+09 2882;14 23 22.69526 +08 26 47.8351;4.92;4.87;nan
HD 126200;14 24 00.8780861400 +08 14 38.283316044;5.984;5.93;nan
HD 126248;14 24 11.3443421 +05 49 12.467853;5.222;5.094;nan
* ups Vir;14 19 32.4797345232 -02 15 55.858700808;6.16;5.14;nan
* iot Vir;14 16 00.8695049 -06 00 01.963348;4.6;4.08;nan
* lam Vir;14 19 06.5923499 -13 22 15.945905;4.66;4.52;nan
HD 124683;14 15 24.0849409 -18 12 02.487932;5.525;5.532;nan
HD 126218;14 24 48.6248189580 -24 48 22.715551932;6.3;5.332;nan
HD 125276;14 19 00.8956927577 -25 48 55.529829905;6.36;5.87;nan
* k Hya;14 23 05.7738751800 -27 45 14.462107776;6.06;4.75;3.78
HD 125745;14 22 19.7195907480 -34 47 12.448132980;5.467;5.568;nan
HD 125283;14 19 23.8801055016 -37 00 10.464691536;6.002;5.925;nan
* psi Cen;14 20 33.4322870 -37 53 07.055140;4.006;4.034;6.13
HD 128198;14 34 38.4997711464 +36 37 33.828598956;7.404;5.999;nan
* rho Boo;14 31 49.7893292450 +30 22 17.171652275;4.89;3.59;2.67
* sig Boo;14 34 40.8173867232 +29 44 42.457673940;4.84;4.47;4.13
* 26 Boo;14 32 32.5421471304 +22 15 36.203742792;6.263;5.897;nan
* f Boo;14 26 27.3650870400 +19 13 36.838844688;5.637;5.394;nan
HD 127167;14 29 50.5176536400 +00 49 44.151127500;6.12;5.966;nan
* phi Vir;14 28 12.1389021744 -02 13 40.649015856;5.522;4.84;nan
* 106 Vir;14 28 41.7223108944 -06 54 01.897156080;6.901;5.418;nan
* l Hya;14 28 10.4272263008 -29 29 29.896774774;4.9;4.97;nan
* eps Boo B;14 44 59.1497672913 +27 04 29.948119279;4.853;4.801;nan
* eps Boo;14 44 59.21746 +27 04 27.2099;3.36;2.39;nan
* eps Boo A;14 44 59.223146 +27 04 27.14599;3.61;2.45;nan
* 34 Boo;14 43 25.3630456 +26 31 40.266331;6.46;4.79;3.37
HD 128750;14 38 13.9875702624 +18 17 54.159797184;7.022;5.91;nan
* pi.01 Boo;14 40 43.5589117488 +16 25 05.975961096;4.792;4.893;4.47
* pi.02 Boo;14 40 43.9257184848 +16 25 04.071486972;5.979;5.761;nan
* omi Boo;14 45 14.4602643 +16 57 51.407805;5.58;4.6;3.87
V* EK Boo;14 46 05.9426993007 +15 07 54.411177125;7.2;5.63;nan
HD 129153;14 40 42.3928801560 +13 32 03.562108152;6.152;5.925;nan
* zet Boo;14 41 08.95158 +13 43 41.8967;3.83;3.78;nan
* zet Boo A;14 41 08.960182 +13 43 41.81182;4.56;4.51;nan
* zet Boo B;14 41 08.907838 +13 43 42.30070;4.59;4.51;nan
* 31 Boo;14 41 38.7511938264 +08 09 42.352458552;5.866;4.862;nan
* 108 Vir;14 45 30.2044637184 +00 43 02.180202816;5.656;5.665;nan
* 109 Vir;14 46 14.9253599 +01 53 34.384496;3.72;3.73;3.66
* mu. Vir;14 43 03.6228218 -05 39 29.532712;4.26;3.88;3.48
HD 129944;14 46 06.7708856400 -23 09 10.913286816;6.781;5.803;nan
* 4 Lib;14 43 13.5512958192 -24 59 51.911632968;5.72;5.73;nan
* 55 Hya;14 47 22.5556927680 -25 37 27.359626548;5.562;5.609;nan
* 56 Hya;14 47 44.8064191512 -26 05 15.001924020;6.165;5.229;nan
* c01 Cen;14 43 39.4396190 -35 10 25.158650;5.4;4.05;nan
HD 128974;14 41 01.3897990440 -36 08 05.492768820;5.568;5.658;nan
* c02 Cen;14 44 59.2016391888 -35 11 30.583305636;4.927;4.924;nan
HD 130917;14 49 58.3985221344 +28 36 56.993162868;5.85;5.8;nan
HD 130948;14 50 15.8109853464 +23 54 42.634220112;6.456;5.867;nan
* ksi Boo A;14 51 23.3884659504 +19 06 01.619801424;5.4;4.675;nan
* ksi Boo;14 51 23.37993 +19 06 01.6994;5.37;4.593;3.91
HD 132146;14 57 11.6778470784 +16 23 17.258057988;6.672;5.715;nan
HD 131951;14 56 13.2300928608 +14 26 46.540838544;5.862;5.892;nan
HD 132525;14 59 23.1155063784 +04 34 03.938158704;7.53;5.93;nan
* 1 Ser;14 57 33.2513485248 -00 10 03.402965280;6.644;5.512;nan
* 11 Lib;14 51 01.0720205236 -02 17 56.941059804;5.92;4.94;nan
* 16 Lib;14 57 10.9988855472 -04 20 47.251261752;4.81;4.49;4.17
* ksi02 Lib;14 56 46.1150412384 -11 24 34.920108828;6.946;5.45;nan
* 18 Lib;14 58 53.5813630608 -11 08 38.462393832;7.146;5.857;nan
* ksi01 Lib;14 54 22.8741152112 -11 53 54.061357524;6.768;5.788;nan
* mu. Lib;14 49 19.05130 -14 08 56.4766;5.38;5.31;nan
* alf01 Lib;14 50 41.1718805688 -15 59 49.957540152;5.57;5.16;4.78
* alf02 Lib;14 50 52.71309 -16 02 30.3955;2.9;2.75;2.61
HD 131977;14 57 28.0007918772 -21 24 55.727265310;6.83;5.72;4.74
HD 130529;14 49 18.7440828528 -24 15 05.288855400;6.972;5.692;nan
* 12 Lib;14 54 20.1285843312 -24 38 31.935367716;6.612;5.266;nan
* E Hya;14 50 17.3082918816 -27 57 37.300431780;5.81;4.41;3.33
HD 131432;14 54 37.9141813344 -33 18 02.053069128;7.275;5.834;nan
HD 131625;14 55 44.7084250488 -33 51 20.817083448;5.353;5.312;nan
* phi01 Lup;15 21 48.3696659 -36 15 40.952469;5.076;3.546;nan
* phi02 Lup;15 23 09.3500506 -36 51 30.552048;4.39;4.54;4.6
HD 137432;15 27 18.1304610624 -36 46 03.214731900;5.3;5.45;5.54
* h Lup;15 42 38.3165019600 -37 25 29.781164856;6.218;5.24;nan
* eta Lup;16 00 07.3278558 -38 23 48.151245;3.19;3.41;nan
HD 143699;16 03 24.1894502 -38 36 09.152751;4.75;4.89;4.96
HD 145191;16 11 17.7041502024 -41 07 11.287512984;6.123;5.857;nan
NGC 6124;16 25 19.7 -40 39 40;6.7;5.8;nan
HD 148688;16 31 41.7687715992 -41 49 01.732565676;5.78;5.39;5.05
HD 149404;16 36 22.5628499784 -42 51 31.902127776;5.88;5.52;6.9
HD 150742;16 44 42.5926704048 -40 50 22.830249192;5.528;5.628;nan
[SC96] Mis 125;16 43 48.0 -41 07 00;nan;5.41;nan
HD 151804;16 51 33.7218052272 -41 13 49.919519496;5.29;5.22;nan
HD 152234;16 54 01.8374467 -41 48 23.007764;5.64;5.45;nan
HD 152293;16 54 26.9426810760 -42 28 44.028544116;6.458;5.839;nan
* zet02 Sco;16 54 35.0050319669 -42 21 40.737010682;4.99;3.62;nan
* zet01 Sco;16 53 59.7271314888 -42 21 43.307334468;5.31;4.79;4.32
HD 152408;16 54 58.5051071856 -41 09 03.093075612;5.92;5.77;7
[SC96] Mis 177;16 53 36.0 -42 05 00;nan;5.94;nan
NGC 6231;16 54 08.51 -41 49 36.0;2.83;2.6;nan
* eta Sco;17 12 09.1956531 -43 14 21.090526;3.74;3.33;2.97
HD 156293;17 18 47.8284399264 -44 07 47.087356152;5.702;5.736;nan
HD 157243;17 24 13.0872972 -44 09 45.273534;5.039;5.108;nan
[SC96] Mis 382;17 18 48.0 -42 55 00;nan;5.38;nan
* tet Sco;17 37 19.12985 -42 59 52.1808;2.29;1.85;nan
HD 160928;17 44 42.0095149680 -42 43 45.550054236;6.027;5.871;nan
HD 163145;17 56 47.4169480680 -44 20 31.986560220;6.041;4.849;nan
CD-43 12272;18 06 49.89312 -43 25 30.7964;5.17;4.95;nan
CD-43 12272A;18 06 49.8929258688 -43 25 30.800909676;5.84;5.62;nan
CD-43 12272B;18 06 49.9149403848 -43 25 29.097604128;5.94;5.68;nan
HD 167096;18 15 53.4521091432 -44 12 23.232159396;6.409;5.451;nan
HD 168905;18 24 18.2394893016 -44 06 36.918580464;5.063;5.227;nan
* tet CrA;18 33 30.1857736368 -42 18 45.029663136;5.618;4.614;nan
HD 170521;18 31 56.2238197128 -43 30 26.571390372;7.013;5.686;nan
V* V718 CrA;18 39 35.1590011992 -43 11 09.169104264;7.029;5.425;nan
* eta01 CrA;18 48 50.4897478488 -43 40 48.155963880;5.569;5.456;nan
* eta02 CrA;18 49 34.9964863680 -43 26 02.752166760;5.513;5.587;nan
HD 175219;18 56 16.9512500808 -42 42 38.423132748;6.341;5.346;nan
* zet CrA;19 03 06.8769803 -42 05 42.385816;4.701;4.725;nan
HD 178322;19 09 57.6520020528 -41 53 32.083602864;5.765;5.855;nan
* alf Sgr;19 23 53.1748283 -40 36 57.370456;3.841;3.943;nan
V* V4089 Sgr;19 34 08.4856054632 -40 02 04.702519428;6;5.91;nan
V* V3961 Sgr;19 51 50.6106718344 -39 52 27.738309468;5.27;5.33;nan
HD 189831;20 03 33.4666224840 -37 56 26.465857980;6.176;4.764;nan
* alf Mic;20 49 58.0810451616 -33 46 46.934378400;5.879;4.89;nan
HD 132955;15 02 59.2764966384 -32 38 35.849039748;5.319;5.437;nan
V* HZ Lup;15 06 33.1978166352 -30 55 06.533677056;5.893;5.977;nan
* psi01 Lup;15 39 45.9793075992 -34 24 42.914876364;5.641;4.661;nan
* psi02 Lup;15 42 41.0220569 -34 42 37.461720;4.576;4.721;nan
HD 140784;15 46 44.2174303104 -34 40 56.830010556;5.481;5.6;nan
HD 142691;15 57 21.3245873 -36 11 07.220404;6.82;5.83;nan
* tet Lup;16 06 35.5439828160 -36 48 08.173906632;4.027;4.201;nan
HD 144415;16 07 16.2193673808 -36 45 20.278307556;6.011;5.7;nan
HD 143928;16 04 36.8156250336 -37 51 46.612830060;6.282;5.901;nan
HD 148247;16 28 14.4703648584 -37 10 47.578336068;6.91;5.79;nan
HR 6100;16 24 31.7543889048 -37 33 57.760482924;5.308;5.414;nan
HD 147513;16 24 01.2911377368 -39 11 34.729913940;6.02;5.376;nan
HD 151078;16 46 47.9579454936 -39 22 37.071076188;6.457;5.481;nan
C 1652-407;16 55 30.00 -40 50 00.0;nan;3.4;nan
[SC96] Mis 190;16 54 54.0 -40 44 00;nan;3.4;nan
[SC96] Mis 213;16 57 06.0 -40 56 00;nan;5.98;nan
HD 155259;17 12 16.2049148880 -39 30 25.016257476;5.702;5.655;nan
HD 158799;17 33 07.3890992688 -41 10 23.035778040;5.87;5.838;nan
* iot01 Sco;17 47 35.0811299 -40 07 37.189349;3.492;2.992;nan
* iot02 Sco;17 50 11.1117941496 -40 05 25.554554736;5.039;4.803;6.56
HD 162189;17 51 32.5316991288 -40 46 20.872921980;7.476;5.958;nan
HD 163376;17 57 47.8033772 -41 42 58.661213;6.503;4.863;nan
HD 166114;18 11 05.5628156880 -41 21 32.814185004;6.133;5.845;nan
V* V692 CrA;18 13 12.6984255264 -41 20 09.997218708;5.298;5.462;nan
HD 170642;18 32 21.3314017 -39 42 14.402498;5.233;5.155;nan
HD 172991;18 44 57.1522814304 -39 41 10.278114576;6.278;5.439;nan
* mu. CrA;18 47 44.6177345928 -40 24 22.197417912;5.984;5.217;nan
* bet CrA;19 10 01.7558032 -39 20 26.864359;5.281;4.095;nan
* del CrA;19 08 20.9696916432 -40 29 48.112728468;5.664;4.571;nan
HD 189195;20 00 15.9329086049 -37 42 06.201377039;6.933;5.948;nan
HD 191408;20 11 11.9387690214 -36 06 04.351725607;5.44;5.32;nan
HD 196737;20 40 19.8279224592 -33 25 54.646146624;6.599;5.466;nan
* 60 Hya;15 02 06.4331233344 -28 03 38.207074932;5.995;5.824;nan
* f Lup;15 17 49.8380872 -30 08 55.216510;5.43;4.33;3.52
* i Lup;15 14 37.3198417440 -31 31 08.845840812;5.273;4.918;nan
* chi Lup;15 50 57.5382881 -33 37 37.795321;3.909;3.946;nan
* ksi02 Lup;15 56 54.1128088176 -33 57 51.338030580;5.61;5.55;nan
* ksi01 Lup;15 56 53.4896401128 -33 57 58.013116056;5.18;5.08;nan
HD 144987;16 09 52.5898714152 -33 32 44.903550228;5.41;5.497;nan
* N Sco;16 31 22.9330023 -34 42 15.714620;4.06;4.23;4.29
* H Sco;16 36 22.4719203 -35 15 19.180284;5.73;4.156;nan
HR 6178;16 39 05.2266008424 -37 13 02.553774384;5.895;5.914;nan
* mu.02 Sco;16 52 20.1453198 -38 01 03.125839;3.343;3.542;nan
* mu.01 Sco;16 51 52.2283548696 -38 02 50.638070400;2.82;2.98;nan
[SC96] Mis 162;16 52 00.0 -38 02 00;nan;2.51;nan
HD 153368;17 00 36.9893848320 -35 56 02.883388272;7.11;5.934;nan
HD 154310;17 06 20.1895074456 -37 13 39.330455520;6.05;5.98;nan
V* V923 Sco;17 03 50.9415687600 -38 09 09.259137216;6.29;5.902;nan
HD 155826;17 15 35.9021317723 -38 35 38.168900773;6.53;5.95;nan
HD 157097;17 22 54.7490787120 -37 13 14.839562316;6.999;5.914;nan
HR 6501;17 28 56.0893272024 -36 46 41.809637784;7.097;5.985;nan
* ups Sco;17 30 45.8371228 -37 17 44.928511;2.48;2.65;nan
* Q Sco;17 36 32.8551435432 -38 38 06.891848556;5.357;4.267;nan
* lam Sco;17 33 36.52012 -37 06 13.7648;1.49;1.63;nan
HD 160668;17 42 51.0974316864 -36 56 44.024727984;7.073;5.52;nan
* kap Sco;17 42 29.27520 -39 01 47.9391;2.211;2.386;nan
* G Sco;17 49 51.4808976914 -37 02 35.794961894;4.38;3.21;nan
HD 163652;17 58 55.6875468144 -36 51 30.148476408;6.646;5.737;nan
[SC96] GC 277;17 57 42.0 -39 08 00;nan;5.72;nan
[SC96] Mis 814;17 57 42.0 -39 08 00;nan;5.72;nan
* eta Sgr;18 17 37.6350518 -36 45 42.066723;4.67;3.11;1.55
HD 168592;18 22 18.5733983520 -38 39 24.826092840;6.579;5.073;nan
V* V4050 Sgr;18 22 53.0754352224 -36 40 10.400061108;5.2;5.34;nan
* kap02 CrA;18 33 23.1312973056 -38 43 33.539236896;5.51;5.59;nan
HD 169853;18 28 27.1140580824 -38 59 44.410236756;5.756;5.624;nan
* lam CrA;18 43 46.9419848160 -38 19 24.390826104;5.18;5.111;nan
* eps CrA;18 58 43.3827144528 -37 06 26.380732536;5.19;4.83;nan
V* V686 CrA;18 56 40.4859327624 -37 20 35.701261512;5.24;5.38;nan
* gam CrA;19 06 25.11014 -37 03 48.3901;4.73;4.21;nan
* gam CrA A;19 06 25.2146839530 -37 03 47.792348952;5.07;4.53;nan
V* V701 CrA;19 03 17.6961867024 -38 15 11.333460060;6.044;5.716;nan
* alf CrA;19 09 28.3409747 -37 54 16.102206;4.146;4.087;nan
HD 180885;19 19 39.9943579872 -35 25 17.253474852;5.446;5.579;nan
* tet01 Sgr;19 59 44.1783371 -35 16 34.704931;4.22;4.37;nan
* tet02 Sgr;19 59 51.3570446040 -34 41 52.078169184;5.465;5.299;nan
HD 196917;20 41 23.6576627064 -31 35 53.833438032;7.286;5.74;nan
HD 134373;15 10 18.6313416048 -26 19 57.451782540;6.78;5.756;nan
* tau Lib;15 38 39.3694957 -29 46 39.895604;3.481;3.642;nan
HD 143790;16 03 34.3588814712 -32 00 01.924226352;6.455;5.993;nan
HD 150331;16 41 45.4543295376 -33 08 44.735502012;6.499;5.836;nan
* eps Sco;16 50 09.8108127 -34 17 35.633735;3.45;2.29;1.43
* 27 Sco;16 57 11.1748119696 -33 15 34.172238564;7.11;5.49;nan
* k Sco;17 04 49.3516568736 -34 07 22.541680380;5.13;4.87;4.59
HD 155806;17 15 19.2478670712 -33 32 54.299379012;5.52;5.53;nan
HD 156384;17 18 57.16483 -34 59 23.1416;6.93;5.89;4.97
HD 162391;17 52 19.7613514968 -34 25 00.630446052;6.95;5.85;nan
HD 162587;17 53 23.47133 -34 53 42.4372;6.69;5.6;nan
V* V906 Sco;17 53 54.7731227 -34 45 09.785378;5.95;5.96;nan
V* V957 Sco;17 52 13.6613130072 -34 47 57.109291728;5.8;5.9;nan
[SC96] GC 236;17 53 42.0 -34 45 00;nan;4.89;nan
[SC96] GC 335;18 01 54.0 -36 22 00;nan;5.9;nan
[SC96] Mis 890;18 01 54.0 -36 22 00;nan;5.9;nan
HD 164870;18 04 50.3785407480 -35 54 05.187633912;7.151;5.972;nan
HD 165185;18 06 23.7195191736 -36 01 11.230597272;6.57;5.95;5.58
HD 168838;18 23 28.8266690568 -36 14 16.758149352;6.528;5.518;nan
* eps Sgr;18 24 10.31840 -34 23 04.6193;1.82;1.81;nan
HD 172910;18 44 19.3590068 -35 38 31.154592;4.69;4.87;5.02
HD 186500;19 46 01.2251177472 -31 54 30.846204252;5.521;5.512;nan
HD 190056;20 04 19.5930107568 -32 03 22.666720392;6.2;4.99;nan
HD 194215;20 25 26.8274580216 -28 39 47.749771800;6.954;5.858;nan
HD 199260;20 56 47.3316655128 -26 17 46.960329480;6.2;5.7;nan
* ome Cap;20 51 49.2905373888 -26 55 08.885443656;5.75;4.12;2.87
* sig Lib;15 04 04.2160765 -25 16 55.060636;4.91;3.21;1.6
HD 135051;15 13 53.3128618824 -26 11 36.866722560;6.998;5.857;nan
* 36 Lib;15 34 37.3181759976 -28 02 49.272938232;6.437;5.138;nan
* ups Lib;15 37 01.4501996 -28 08 06.292648;4.979;3.589;nan
* rho Sco;15 56 53.0762391 -29 12 50.661185;3.66;3.86;3.97
* 12 Sco A;16 12 16.0428278880 -28 25 02.224259076;5.75;5.8;nan
HD 145250;16 11 02.0683023240 -29 24 58.387298940;6.226;5.102;nan
* d Sco;16 18 17.9001656 -28 36 50.476788;4.804;4.782;nan
HD 146836;16 19 32.7382799688 -30 54 24.160713048;5.949;5.502;nan
CD-29 12513;16 24 39.77379 -29 42 16.7693;6.01;5.41;nan
CD-29 12513A;16 24 39.7741088568 -29 42 16.785116136;6.4;5.82;nan
HD 153613;17 01 52.6418972928 -32 08 36.680544996;4.914;5.01;nan
HD 154783;17 08 47.5394206392 -30 24 13.382302392;6.198;5.911;nan
HD 155450;17 12 58.5578949696 -32 26 17.993977116;6.019;5.997;7.21
HD 156098;17 17 03.6458542704 -32 39 46.220745528;6.021;5.526;nan
HD 159176;17 34 42.4921337376 -32 34 53.995451196;5.74;5.7;7.19
V* BM Sco;17 40 58.5463959480 -32 12 52.064356500;7.2;5.6;nan
HD 161840;17 49 10.4771628 -31 42 11.543842;4.753;4.797;nan
HD 170479;18 31 04.8414699868 -32 59 20.753703372;5.566;5.386;nan
HD 171034;18 33 57.7663102032 -33 00 59.616968472;5.15;5.276;nan
NAME SDG;18 55 03.1 -30 28 42;4.5;3.6;nan
HD 177074;19 04 25.0576352928 -31 02 49.490055780;5.512;5.482;nan
HD 182286;19 25 04.0424690256 -29 18 33.687894708;7.19;5.93;nan
HD 182681;19 26 56.4829971576 -29 44 35.617721496;5.635;5.644;nan
* c Sgr;20 02 39.4809660 -27 42 35.444256;6.23;4.58;2.71
HD 192310;20 15 17.3913760474 -27 01 58.711625384;6.63;5.723;5.98
* psi Cap;20 46 05.7329952443 -25 16 15.233491015;4.538;4.122;nan
HD 198174;20 49 17.6130920568 -25 46 52.479584364;5.766;5.849;nan
* 42 Lib;15 40 16.8973226160 -23 49 05.101136148;6.29;4.96;4
* 2 Sco;15 53 36.71880 -25 19 37.7087;4.52;4.59;nan
HD 142165;15 53 53.9142283800 -24 31 59.373289920;5.35;5.372;nan
* 3 Sco;15 54 39.5296532472 -25 14 37.459966128;5.81;5.87;nan
