identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
V* V416 Lac;22 38 37.9233049091 +56 47 44.277881218;6.684;5.167;nan
HD 213930;22 33 40.6494305424 +56 37 29.055508932;6.686;5.72;nan
HD 216174;22 49 46.3147714872 +55 54 09.996118956;6.598;5.439;nan
V* V509 Cas;23 00 05.1012218544 +56 56 43.350876312;6.68;5.13;3.96
HD 219134;23 13 16.9749603608 +57 10 06.083823619;6.56;5.57;4.76
V* AR Cas;23 30 01.9406369832 +58 32 56.112185112;4.76;4.886;nan
* tau Cas;23 47 03.4543856136 +58 39 07.167728628;5.993;4.873;nan
HD 223173;23 47 01.9184555184 +57 27 04.892546304;7.149;5.503;nan
* rho Cas;23 54 23.0325302520 +57 29 57.774737400;5.85;4.59;3.63
* alf Cas;00 40 30.4410679 +56 32 14.392170;3.4;2.23;1.45
* eta Cas;00 49 06.2945942922 +57 48 54.638239716;4.02;3.44;2.94
* tet Cas;01 11 06.1622468 +55 08 59.647259;4.51;4.33;4.16
* 1 Per;01 51 59.3200840608 +55 08 50.583693732;5.34;5.52;nan
* g Per;02 02 18.1084057296 +54 29 15.145135980;4.96;5.04;5.01
* tet Per;02 44 11.9866154103 +49 13 42.414669174;4.62;4.11;3.67
HD 18474;02 59 49.7897133000 +47 13 14.567181096;6.348;5.485;nan
* nu. Per;03 45 11.6320341 +42 34 42.782888;4.22;3.8;3.4
HD 192985;20 16 00.6155322192 +45 34 46.290085536;6.281;5.864;nan
HD 194152;20 22 05.3676486336 +45 47 41.997669324;6.653;5.572;nan
V* V2015 Cyg;20 33 54.8435604456 +46 41 37.867484940;5.626;5.769;nan
* 51 Cyg;20 42 12.6305206584 +50 20 24.066965544;5.286;5.401;nan
HD 199611;20 56 25.4774838120 +50 43 42.948296868;6.157;5.82;nan
HD 199955;20 58 30.03385 +50 27 42.4409;5.77;5.9;6.84
HD 200817;21 03 47.6224016568 +53 17 09.282047244;6.927;5.918;nan
HD 201834;21 10 15.5733223584 +53 33 47.162825784;5.63;5.747;nan
HD 204428;21 26 44.9697592824 +52 53 54.730425048;5.873;5.987;nan
HD 208095;21 52 01.0393576752 +55 47 48.298534764;5.55;5.657;nan
* 13 Cep;21 54 53.1538880928 +56 36 40.415024952;6.52;5.8;5.12
* 14 Cep;22 02 04.5726270264 +58 00 01.309758516;5.551;5.542;nan
* zet Cep;22 10 51.2769159 +58 12 04.545587;4.9;3.35;2.27
HD 211554;22 16 26.5631295408 +57 13 12.857307492;6.832;5.882;nan
* del Cep;22 29 10.2626640314 +58 24 54.697613650;4.35;3.75;nan
HD 216595;22 53 03.7845125472 +60 06 03.711574080;7.716;5.984;nan
* 1 Cas;23 06 36.8178557 +59 25 11.135698;4.771;4.84;nan
* 2 Cas;23 09 44.1389006784 +59 19 57.687059136;5.977;5.679;nan
HD 220369;23 22 32.5327535256 +60 08 00.552165504;7.189;5.513;nan
